#MeV,dN/dE. a.u.
236.7779884,5.84656
237.3305951,6.33248
237.8856646,5.81296
238.4432131,9.50448
239.0032568,15.26816
239.5658121,17.216
240.1308953,18.18128
240.6985232,24.48416
241.2687122,20.968
241.8414793,21.29408
242.4168411,32.46672
242.9948148,39.91824
243.5754173,43.592
244.1586659,47.3384
244.7445779,45.4816
245.3331707,56.30464
245.9244619,63.19648
246.518469,67.93264
247.1152098,64.5968
247.7147022,60.71904
248.3169643,55.1032
248.922014,55.56272
249.5298697,44.89776
250.1405497,33.0192
250.7540724,28.88704
251.3704565,26.55616
251.9897207,20.9072
252.6118838,20.82272
253.2369649,22.23536
253.864983,28.54368
254.4959574,38.88496
255.1299075,48.70928
255.7668527,50.97408
256.4068127,63.04416
257.0498073,62.93664
257.6958565,66.10432
258.3449802,64.24448
258.9971988,60.1872
259.6525325,59.46704
260.3110018,52.56544
260.9726275,50.55968
261.6374303,45.02832
262.3054312,46.28528
262.9766513,33.4528
263.6511118,32.29968
264.3288342,36.31248
265.0098401,28.42368
265.6941513,29.29456
266.3817896,30.20976
267.0727772,30.60176
267.7671363,28.3184
268.4648894,24.36032
269.166059,18.80624
269.8706681,18.22448
270.5787396,13.15808
271.2902965,16.8024
272.0053624,14.8704
272.7239607,14.10064
273.4461152,11.88
274.1718498,9.47168
274.9011887,15.58992
